TripNumber,StreetInTrip,StreetLength,SpeedLimit,EdgeID
5,1,35,73.00070822,11001
5,2,35,77.70517615,10999
5,3,35,74.551057,10997
5,4,35,79.33711931,11022
5,5,35,84.18993586,11011
5,6,35,77.34737875,11017
5,7,35,8.789340134,11016
5,8,35,73.89297193,11528
5,9,35,70.18379443,11536
5,10,35,68.86335237,11538
5,11,35,18.20470818,11542
5,12,35,142.3910904,11532
5,13,35,139.3900224,11562
5,14,35,142.1797232,11565
6,1,35,78.54179333,3181
6,2,35,81.67500536,3184
6,3,35,78.08872518,3185
6,4,35,79.99695119,5237
6,5,35,80.2153433,5235
6,6,35,84.96127177,5242
6,7,35,156.4519477,5224
6,8,35,84.15371935,5222
6,9,35,59.1811938,5219
7,1,25,153.7139372,6275
7,2,35,79.29139298,6269
7,3,35,79.15432079,6266
7,4,35,79.91237514,6265
7,5,35,79.34956837,6262
7,6,35,79.71899962,4814
7,7,35,80.13045488,4816
7,8,35,86.54174773,4817
7,9,35,85.05772814,4824
7,10,35,80.93554278,4826
7,11,35,80.99638819,4829
7,12,35,79.74356714,4853
7,13,35,81.01693774,4851
7,14,35,80.30724251,4857
7,15,35,86.63631167,4872
7,16,35,86.5789628,4870
7,17,35,80.25236321,4874
7,18,35,80.56152556,4954
7,19,35,80.40541338,4956
7,20,35,80.48640258,4941
8,1,35,98.69963019,3796
8,2,35,58.31708155,3791
8,3,35,55.18104113,3790
8,4,35,40.01208317,3795
8,5,35,58.71461317,3792
8,6,35,85.75617478,3794
8,7,35,85.11480482,3753
8,8,35,76.50261845,3752
8,9,35,80.20431877,3748
8,10,35,79.12688797,3743
8,11,35,76.56240461,3745
8,12,35,77.56297119,3747
8,13,35,81.14997535,3738
8,14,35,82.52259388,3734
8,15,35,272.0522752,3102
8,16,35,53.67887666,3106
9,1,25,80.58161391,2822
9,2,25,64.8177414,2827
9,3,25,11.70563112,2825
9,4,25,12.18789563,2823
9,5,25,139.1837993,3177
9,6,25,158.2704584,3172
9,7,25,123.2159746,3171
9,8,25,187.4805974,3163
9,9,25,275.2502472,3198
9,10,25,72.37851408,3242
9,11,35,81.80466124,3245
9,12,35,78.50057643,3247
9,13,35,79.02321305,3228
9,14,25,189.5823979,3227
9,15,25,274.6484841,3270
10,1,35,76.90373613,3015
10,2,35,29.69907911,3021
10,3,35,50.03586813,3019
10,4,35,78.28471754,3022
10,5,35,76.9095883,3025
10,6,35,78.58974297,3041
10,7,35,85.72870056,3039
10,8,35,74.62896556,3044
10,9,35,9.477858407,3046
10,10,35,78.91767863,2323
10,11,35,8.366510624,2321
10,12,35,70.0694798,2326
10,13,35,79.66794148,2330
10,14,35,76.83542646,2309
10,15,35,79.56240318,2313
10,16,35,77.15203238,2302
10,17,35,78.74376801,2300
10,18,35,79.13271511,2297
10,19,35,34.42249991,2296
10,20,35,29.41941631,1666
10,21,35,54.7037077,1669
10,22,35,34.78882194,1689
10,23,35,8.480336078,1687
10,24,35,85.99585386,1684
10,25,35,78.90885945,1698
10,26,35,75.20552373,1707
10,27,35,72.7601986,1709
10,28,35,75.98122202,1713
10,29,35,72.4529675,1744
10,30,35,74.85619346,1741
10,31,35,80.85385952,1747
10,32,35,87.36623797,1752
10,33,35,86.41167745,1866
10,34,35,82.21369351,1864
10,35,35,82.31550583,1858
10,36,35,73.78750165,1860
10,37,35,75.00518715,1845
10,38,35,75.10377953,1842
10,39,35,50.69052969,1841
10,40,35,55.93443894,1839
10,41,35,139.9326994,1920
10,42,35,78.1644011,1924
10,43,35,77.04323267,1015
10,44,35,80.58065835,1116
10,45,35,82.19868916,1113
10,46,35,165.8386505,1023
10,47,35,141.5779787,1026
10,48,35,78.81332002,1029
