STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08
USW00094728,40.77898,-73.96925,42.7,26-03-16,6.49,,0,0,0,,55,38,60,190,14.1,21,,,,,,
USW00094728,40.77898,-73.96925,42.7,27-03-16,5.59,,0,0,0,,55,43,170,180,13,19.9,,,,,,
USW00094728,40.77898,-73.96925,42.7,28-03-16,10.07,,0.38,0,0,,62,42,290,270,25.1,45,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,29-03-16,11.63,,0,0,0,,53,40,290,280,25.9,42.9,,,,,,
USW00094728,40.77898,-73.96925,42.7,30-03-16,5.37,,0,0,0,,56,37,190,160,16.1,23.9,,,,,,
USW00094728,40.77898,-73.96925,42.7,31-03-16,6.71,,0,0,0,,73,49,240,250,16.1,28,,,,,,
USW00094728,40.77898,-73.96925,42.7,01-04-16,6.71,,0.02,0,0,,79,61,260,250,12.1,30,,,,,,
USW00094728,40.77898,-73.96925,42.7,02-04-16,4.92,,0.16,0,0,,61,49,190,190,8.9,19.9,,,,,,
USW00094728,40.77898,-73.96925,42.7,03-04-16,12.75,,0.09,0,0,,50,34,280,280,25.1,45,,,,,,
USW00094728,40.77898,-73.96925,42.7,04-04-16,7.16,,0.47,0,0,,45,29,50,30,16.1,25.1,1,,,,,
USW00094728,40.77898,-73.96925,42.7,05-04-16,8.28,,0,0,0,,43,26,20,20,21.9,31.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,06-04-16,6.04,,0,0,0,,48,30,180,180,17,36,,,,,,
USW00094728,40.77898,-73.96925,42.7,07-04-16,6.93,,0.09,0,0,,58,48,250,260,19.9,34,,,,,,
USW00094728,40.77898,-73.96925,42.7,08-04-16,7.16,,0.01,0,0,,50,40,280,300,13,29.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,09-04-16,6.49,,0.11,0,0,,43,36,310,320,14.1,25.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,10-04-16,4.92,,0,0,0,,50,31,260,320,13,23.9,,,,,,
USW00094728,40.77898,-73.96925,42.7,11-04-16,6.93,,0.01,0,0,,65,43,260,240,13,21.9,,,,,,
USW00094728,40.77898,-73.96925,42.7,12-04-16,5.82,,0.2,0,0,,59,45,310,320,21,30,1,,,,,
USW00094728,40.77898,-73.96925,42.7,13-04-16,4.47,,0,0,0,,58,40,40,40,16.1,25.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,14-04-16,6.49,,0,0,0,,62,43,50,50,11,19.9,,,,,,
USW00094728,40.77898,-73.96925,42.7,15-04-16,3.8,,0,0,0,,65,42,60,60,13,19,,,,,,
USW00094728,40.77898,-73.96925,42.7,16-04-16,4.92,,0,0,0,,68,43,50,40,16.1,19.9,,,,,,
USW00094728,40.77898,-73.96925,42.7,17-04-16,2.91,,0,0,0,,75,44,180,160,8.9,15,,,,,,
USW00094728,40.77898,-73.96925,42.7,18-04-16,3.8,,0,0,0,,82,51,170,170,14.1,21.9,,,,,,
USW00094728,40.77898,-73.96925,42.7,19-04-16,7.61,,0,0,0,,73,55,350,340,16.1,28,,,,,,
USW00094728,40.77898,-73.96925,42.7,20-04-16,6.04,,0,0,0,,69,49,50,50,16.1,21,,,,,,
USW00094728,40.77898,-73.96925,42.7,21-04-16,5.59,,0,0,0,,73,49,260,150,14.1,21,,,,,,
USW00094728,40.77898,-73.96925,42.7,22-04-16,4.25,,0,0,0,,79,62,170,240,10.1,18.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,23-04-16,7.16,,0.16,0,0,,71,54,30,10,16.1,25.1,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,24-04-16,5.82,,0,0,0,,68,47,30,40,15,25.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,25-04-16,4.03,,0,0,0,,69,50,150,100,8.9,14.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,26-04-16,7.16,,0.24,0,0,,60,47,70,60,17,25.9,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,27-04-16,4.25,,0,0,0,,62,46,240,210,12.1,19.9,,,,,,
USW00094728,40.77898,-73.96925,42.7,28-04-16,4.7,,0,0,0,,59,48,50,60,13,18.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,29-04-16,5.82,,0.05,0,0,,58,45,60,90,14.1,19.9,1,,,,,
USW00094728,40.77898,-73.96925,42.7,30-04-16,5.82,,0,0,0,,65,46,270,170,12.1,18.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,01-05-16,4.92,,0.16,0,0,,51,45,70,170,13,19.9,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,02-05-16,2.24,,0.04,0,0,,60,45,60,300,8.9,12.1,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,03-05-16,6.04,,0.61,0,0,,56,51,60,70,14.1,19,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,04-05-16,8.72,,0.01,0,0,,52,48,60,60,17,23.9,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,05-05-16,8.28,,0,0,0,,57,46,60,40,15,23,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,06-05-16,7.83,,0.54,0,0,,54,48,80,60,18.1,28,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,07-05-16,4.47,,0,0,0,,60,48,80,60,14.1,19,1,,,,,
USW00094728,40.77898,-73.96925,42.7,08-05-16,4.7,,0.16,0,0,,66,49,310,300,19.9,31.1,1,,,,,
USW00094728,40.77898,-73.96925,42.7,09-05-16,5.14,,0,0,0,,72,52,260,270,18.1,30,,,,,,
USW00094728,40.77898,-73.96925,42.7,10-05-16,4.92,,0,0,0,,63,50,60,250,13,19.9,,,,,,
USW00094728,40.77898,-73.96925,42.7,11-05-16,2.46,,0,0,0,,76,50,250,250,10.1,17,,,,,,
USW00094728,40.77898,-73.96925,42.7,12-05-16,3.36,,0,0,0,,80,56,70,5,12.1,18.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,13-05-16,,,0.25,0,0,,65,57,,,,,,,,,,
USW00094728,40.77898,-73.96925,42.7,14-05-16,,,0,0,0,,73,56,,,,,,,,,,
USW00094728,40.77898,-73.96925,42.7,15-05-16,,,0,0,0,,59,46,,,,,,,,,,
USW00094728,40.77898,-73.96925,42.7,16-05-16,,,0,0,0,,66,43,,,,,,,,,,
USW00094728,40.77898,-73.96925,42.7,17-05-16,3.8,,0,0,0,,64,52,99,,6,,,,,,,
USW00094728,40.77898,-73.96925,42.7,18-05-16,,,0,0,0,,68,52,,,,,,,,,,
USW00094728,40.77898,-73.96925,42.7,19-05-16,1.34,,0,0,0,,73,54,190,180,10.1,21,,,,,,
USW00094728,40.77898,-73.96925,42.7,20-05-16,4.47,,0,0,0,,76,53,50,250,12.1,16.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,21-05-16,3.8,,0.04,0,0,,66,54,150,150,12.1,19,,,,,,
USW00094728,40.77898,-73.96925,42.7,22-05-16,3.58,,0.09,0,0,,70,52,60,50,10.1,14.1,1,,,,,
USW00094728,40.77898,-73.96925,42.7,23-05-16,2.46,,0.02,0,0,,78,56,180,170,8.9,16.1,,,,,,1
USW00094728,40.77898,-73.96925,42.7,24-05-16,2.01,,0.18,0,0,,73,58,20,30,8.9,14.1,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,25-05-16,4.25,,0,0,0,,88,61,240,250,10.1,16.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,26-05-16,3.58,,0,0,0,,90,69,180,190,10.1,17,,,,,,
USW00094728,40.77898,-73.96925,42.7,27-05-16,3.8,,0,0,0,,87,73,160,250,13,19.9,,,,,,1
USW00094728,40.77898,-73.96925,42.7,28-05-16,4.47,,0,0,0,,92,71,230,240,12.1,23,,,,,,1
USW00094728,40.77898,-73.96925,42.7,29-05-16,4.92,,0,0,0,,87,70,170,170,13,23.9,1,,,,,
USW00094728,40.77898,-73.96925,42.7,30-05-16,3.13,,1.65,0,0,,82,68,240,330,12.1,30,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,31-05-16,3.13,,0,0,0,,85,71,70,210,12.1,19.9,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,01-06-16,6.04,,0,0,0,,83,66,60,60,13,17,,,,,,
USW00094728,40.77898,-73.96925,42.7,02-06-16,4.7,,0,0,0,,78,62,60,50,12.1,16.1,,,,,,1
USW00094728,40.77898,-73.96925,42.7,03-06-16,1.34,,0.04,0,0,,70,63,90,140,8.1,10.1,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,04-06-16,2.46,,0.4,0,0,,83,66,160,180,8.9,13,1,,,,,1
