Trip ID.,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,trip_time,speed,tod
54,29-06-14 22:37,29-06-14 22:58,1,5.5,-73.977986,40.725299,-73.972939,40.787776,19.5,1247,15.87810746,22
55,30-06-14 6:17,30-06-14 6:32,1,4.4,-74.003263,40.724205,-73.979966,40.776206,15.5,863,18.35457706,6
56,30-06-14 7:57,30-06-14 8:04,2,1.3,-73.947608,40.77076,-73.952525,40.783995,7,447,10.46979866,7
57,30-06-14 0:41,30-06-14 1:05,1,5.5,-73.935008,40.696915,-74.003242,40.741075,21.5,1429,13.85584325,0
58,30-06-14 0:39,30-06-14 1:58,2,17.6,-74.008185,40.650622,-74.008185,40.650622,14.5,4746,13.35018963,0
59,30-06-14 0:07,30-06-14 0:18,1,3.6,-73.925319,40.744143,-73.949509,40.772557,12.5,620,20.90322581,0
60,30-06-14 0:33,30-06-14 0:43,1,2.3,-73.98021,40.783777,-73.955645,40.768065,10,622,13.31189711,0
61,30-06-14 1:13,30-06-14 1:19,1,1.5,-73.976697,40.764961,-73.954149,40.764044,7,381,14.17322835,1
62,30-06-14 0:29,30-06-14 0:57,2,18.9,-73.789386,40.64685,-74.00326,40.724052,52,1671,40.71813285,0
63,30-06-14 0:33,30-06-14 1:01,1,16,-73.983631,40.732669,-74.18242,40.687742,90,1673,34.42916916,0
64,30-06-14 0:13,30-06-14 0:26,1,3.6,-74.004877,40.716544,-73.988151,40.760597,13,803,16.13947696,0
65,30-06-14 2:06,30-06-14 2:16,1,4.7,-73.949291,40.749963,-73.986295,40.718243,15,584,28.97260274,2
66,30-06-14 0:00,30-06-14 0:12,1,4.1,-73.989431,40.734462,-73.948525,40.778038,13.5,720,20.5,0
67,30-06-14 1:00,30-06-14 1:06,1,2.1,-73.962746,40.770559,-73.973527,40.792087,8.5,362,20.8839779,1
68,30-06-14 3:11,30-06-14 3:19,1,2.4,-73.974262,40.760035,-73.987112,40.733598,9.5,471,18.34394904,3
69,30-06-14 0:33,30-06-14 0:38,1,0.7,-73.975009,40.741657,-73.983429,40.743483,5.5,308,8.181818182,0
70,29-06-14 23:59,30-06-14 0:07,1,3.1,-73.870535,40.773652,-73.919472,40.765218,11,464,24.05172414,23
71,30-06-14 2:15,30-06-14 2:35,1,8.7,-73.945417,40.786635,-73.949379,40.714151,27,1215,25.77777778,2
72,30-06-14 0:15,30-06-14 0:21,1,1,-73.983673,40.676274,-73.973303,40.685639,6,302,11.9205298,0
73,30-06-14 0:55,30-06-14 1:04,1,3,-73.977977,40.783456,-73.955284,40.820253,11,552,19.56521739,0
74,30-06-14 1:09,30-06-14 1:17,2,1.8,-74.003419,40.743716,-73.985502,40.763295,8.5,491,13.19755601,1
75,30-06-14 0:30,30-06-14 0:54,2,17.4,-73.779232,40.646727,-73.987914,40.738144,52,1415,44.26855124,0
76,30-06-14 2:51,30-06-14 3:04,1,4,-73.986606,40.754993,-74.007613,40.705276,14,802,17.95511222,2
77,30-06-14 4:55,30-06-14 5:05,3,2.1,-73.988675,40.731401,-73.994286,40.753955,10,636,11.88679245,4
78,30-06-14 4:10,30-06-14 4:17,1,2.3,-73.942106,40.791294,-73.954633,40.765838,9,423,19.57446809,4
79,30-06-14 13:26,30-06-14 13:31,1,0.5,-74.015273,40.710093,-74.016038,40.715232,5,259,6.94980695,13
80,30-06-14 11:37,30-06-14 11:44,1,1.2,-73.985107,40.753648,-74.00077,40.758024,6.5,428,10.09345794,11
81,30-06-14 2:21,30-06-14 2:34,1,3.8,-73.989732,40.757108,-73.988123,40.716351,13.5,763,17.92922674,2
82,30-06-14 9:16,30-06-14 9:36,1,4.7,-74.0122,40.704313,-73.989443,40.74168,17.5,1168,14.48630137,9
83,30-06-14 0:23,30-06-14 0:50,1,6.8,-73.993643,40.746582,-73.921119,40.69996,23.5,1645,14.88145897,0
84,30-06-14 1:24,30-06-14 1:38,1,3,-73.990961,40.718254,-73.940064,40.7076,12.5,802,13.46633416,1
85,30-06-14 0:13,30-06-14 0:19,1,1.2,-73.967616,40.763117,-73.953496,40.767192,6.5,344,12.55813953,0
86,30-06-14 2:41,30-06-14 2:50,4,2.8,-74.002758,40.73392,-73.987801,40.765245,10.5,541,18.63216266,2
87,30-06-14 1:01,30-06-14 1:04,1,0.3,-74.005172,40.719698,-74.004365,40.71649,3.5,145,7.448275862,1
88,30-06-14 3:43,30-06-14 3:54,1,4.2,-73.992666,40.758149,-73.949196,40.744389,14,669,22.60089686,3
89,30-06-14 0:33,30-06-14 0:40,1,1.1,-73.985222,40.753102,-73.992283,40.756497,6.5,409,9.682151589,0
90,30-06-14 2:16,30-06-14 2:26,1,2.1,-73.986295,40.718243,-74.009307,40.734212,10,600,12.6,2
91,30-06-14 2:06,30-06-14 2:16,3,1.2,-73.959543,40.713168,-73.940482,40.707665,8,559,7.728085868,2
92,30-06-14 0:27,30-06-14 0:31,1,1.1,-73.992545,40.758678,-74.002012,40.750754,5.5,220,18,0
93,30-06-14 0:13,30-06-14 0:25,1,3.1,-74.001632,40.730895,-73.967362,40.757773,12,712,15.6741573,0
94,30-06-14 0:22,30-06-14 0:49,2,19.9,-73.776698,40.645287,-73.955395,40.787739,52,1596,44.88721805,0
95,30-06-14 2:33,30-06-14 2:41,2,2.2,-74.004774,40.740745,-73.98727,40.722198,9,500,15.84,2
96,30-06-14 1:21,30-06-14 1:26,1,0.8,-73.99498,40.750207,-73.995334,40.758725,5.5,289,9.965397924,1
97,30-06-14 1:55,30-06-14 2:05,1,2.4,-73.98847,40.764224,-73.959615,40.774011,10,575,15.02608696,1
98,30-06-14 0:47,30-06-14 0:57,1,3,-73.955736,40.772516,-73.955974,40.803702,11,587,18.39863714,0
99,30-06-14 0:07,30-06-14 0:20,1,1.6,-73.977861,40.74216,-73.989065,40.756152,8,800,7.2,0
100,30-06-14 0:51,30-06-14 0:57,1,1.5,-73.966198,40.804908,-73.980864,40.788429,7.5,382,14.13612565,0
101,30-06-14 1:02,30-06-14 1:15,2,3.3,-73.991284,40.760549,-73.953188,40.774276,12,741,16.03238866,1
102,30-06-14 0:52,30-06-14 1:09,1,3.8,-73.985308,40.722813,-73.98169,40.683328,15.5,1007,13.58490566,0
103,30-06-14 13:56,30-06-14 14:40,2,16.8,-73.989847,40.741016,-73.789829,40.646924,52,2629,23.00494485,13
104,30-06-14 10:17,30-06-14 10:23,1,0.9,-73.976999,40.755094,-73.96699,40.764068,6,349,9.283667622,10
105,30-06-14 7:56,30-06-14 8:06,1,1.9,-73.958998,40.771825,-73.974448,40.750027,9.5,623,10.97913323,7
106,30-06-14 11:54,30-06-14 12:36,1,8.6,-73.875237,40.774108,-73.985474,40.744155,33.5,2502,12.37410072,11
107,30-06-14 10:06,30-06-14 10:25,2,9.4,-73.988309,40.731897,-73.94041,40.824825,28,1143,29.60629921,10
108,30-06-14 7:57,30-06-14 8:02,1,1.2,-73.971617,40.746374,-73.967334,40.760305,6,294,14.69387755,7
109,30-06-14 7:36,30-06-14 7:41,1,0.9,-73.986269,40.734846,-73.99623,40.725413,6,300,10.8,7
110,30-06-14 4:37,30-06-14 4:53,1,9.8,-73.988182,40.727897,-73.870655,40.773837,28,916,38.51528384,4
111,30-06-14 4:10,30-06-14 4:32,2,6.9,-73.997127,40.73742,-73.95625,40.65369,23.5,1287,19.3006993,4
112,30-06-14 10:33,30-06-14 10:52,1,2,-73.999602,40.733333,-74.001595,40.755742,12.5,1135,6.343612335,10
113,30-06-14 9:23,30-06-14 9:40,1,2.4,-73.986414,40.767462,-73.993642,40.742534,12.5,1037,8.331726133,9
114,30-06-14 5:52,30-06-14 5:57,1,1.3,-73.998823,40.744825,-73.985838,40.760401,6,246,19.02439024,5
115,30-06-14 10:02,30-06-14 10:19,1,1,-74.000977,40.758035,-73.993089,40.751998,11,999,3.603603604,10
116,30-06-14 13:40,30-06-14 13:53,1,1.4,-74.00466,40.73492,-73.995772,40.749096,10,791,6.371681416,13
117,30-06-14 8:56,30-06-14 9:46,1,9.7,-73.86297,40.769078,-73.987569,40.746548,38.5,3017,11.57441167,8
118,30-06-14 6:43,30-06-14 6:48,1,0.9,-73.968554,40.754911,-73.982189,40.759975,5.5,308,10.51948052,6
